id,embedding,type
1,"[0.03584977653132995, 0.07290785950584824, 0.10211894473664306, -0.056275374976068014, 0.004184968130093297, -0.031614787782668206, 0.12265061630747058, 0.08230349607152987, 0.003084962739360734, -0.10320728122447943, 0.05119376866610359, 0.17466367441320454, -0.004475118822856798, -0.1690724216337889, 0.0886113264514047, -0.023523433070245934, -0.01810418645920432, -0.09953947154131029, -0.052454658605221124, -0.06029922059362621, -0.001776672731569703, 0.056614762425869034, -0.06611746692555742, -0.051590267511936475, -0.08281227243043501, 0.01250894197838241, -0.005170684916260633, -0.06958407047258518, -0.03896457277038033, 0.014317677348343622, 0.025303149976391246, 0.016343386144277428, 0.07159767808140248, 0.11760604788781968, -0.0557045824578619, 0.0027514239426528636, 0.02498979933770694, 0.0109828304293035, 0.03215793073708947, -0.0769931338195362, -0.0958304618466806, 0.0033714109593429116, 0.014359463437449033, 0.0656192926142611, -0.027396563902807664, 0.08402365474211414, -0.14716364771594553, 0.04428360564625482, -0.011845751479133759, -0.057844871511657014, -0.0684668540735676, 0.004085203651844253, -0.014347845799027705, -0.07244970473756465, 0.024506971116232287, 0.1000409212368914, 0.041321904526465406, -0.0821569905155762, -0.010601398489733316, 0.017330965770618583, 0.0883333455293119, 0.0249649679345123, 0.031788876397142056, 0.11383565383390334, 0.041257383335528676, -0.15591042012480863, -0.1122110188918009, 0.04815827441306195, -0.11561384943211943, -0.026241068181869463, -0.0333523486641734, -0.14158435479995904, 0.025370636193710997, -0.12143610824835215, 0.061252446094188374, -0.031188904694063758, 0.05687617245284925, 0.10178849116072881, 0.06965624531106387, 0.017159253333830195, 0.02309440760788602, -0.13188813106430355, -0.029821282118315494, 0.08211333535142842, -0.050015622360441256, 0.10311960511722819, 0.03678327490776058, -0.00994129702147576, -0.12589705971792717, 0.04566238725120349, -0.01220587194519438, -0.007728586505512137, -0.07298578150761516, 0.08198130577475038, 0.02503831769933343, -0.13117393102705616, -0.033313645371190526, 0.01068981169700128, -0.011197399274300518, -0.013885423609594716, -0.07174263184784727, 0.06993464189106084, 0.07879668454990617, -0.17079566171496938, 0.017782169353218236, -0.03509621369055838, 0.025560375713802895, -0.04231784580431196, -0.0034591757402803835, 0.05022014267560516, 0.028654610741860723, -0.10043252640366596, 0.0102910295037482, -0.05505538577472003, 0.046292513549702395, 0.14144693275473766, 0.07453085952686098, -0.0010987262901279008, -0.07959975224706343, -0.026844750324505583, 0.020902437035813737, -0.0258288851777862, 0.01118877714384185, -0.03668092330543972, -0.03936359050311244, -0.06106195284776359, -0.07023007490302308, -0.03356997605858188, 0.03976508832800604, 0.05105282738396032, 0.002983294894292215, 0.04179093844762727, 0.042681302617816656, -0.04820363100356411, -0.021213329750758098, -0.03148423794812898, -0.008509898667965565, 0.043345864788149044, 0.03204902836619901, -0.01202831674379982, -0.016587928773506747, 0.06221958782138188, 0.014421145684900336, -0.028778230173611218, -0.003451638476951578, -0.008095412226330066, -0.06428760782090669, -0.028766048625966573, 0.07046622401364101, -0.022291669665999388, 0.0035345653462661906, -0.02093154278778951, -0.010184148615798314, -0.003886501854575448, -0.025724884799112155, -0.04564951571143794, 0.01437114758113503, -0.035189526118990073, 0.0205620921873068, 0.013552096452036382, 0.025161269307384566, -0.03648095582985274, -0.020471536956306054, -0.020862187495427377, -0.006550756792620138, -0.038366718151560564, 0.030383077028422852, 0.08062546294400606, 0.04381517027247495, -0.03795598440803648, 0.02687295686988202, 0.004343261051445814, -0.12794013470109686, -0.0036560527993499173, 0.015322847617188915, 0.09984528491666579, -0.06569455440544138, -0.07093098497154808, 0.0993455089369121, -0.03803408652822853, 0.09550601591300786, -0.026726481795508003, -0.09181980089784243, 0.0030807940369635754, -0.03663959305450253, 0.051528218100003166, 0.11189636031624484, -0.044909863555192324, -0.06092133300773287, -0.1262104436092438, -0.0800080114405314, -0.036836429240544824, 0.08712424656505295, 0.0292185310493847, 0.02301073428625185, -0.014620328952574797, 0.01902463594849696, -0.029839044566086687, -0.007008534697737288, -0.033124049945838736, -0.08499765759577901, -0.10546444773881954, -0.007417077231343269, 0.020098269230736786, 0.038941758693547227, 0.030132565551689767, -0.04125021739326092, 0.06686495838987552, 0.061871582397701234, -0.004022866050430721, 0.0400540592450849, 0.008234090251185176, -0.00840769739525337, -0.017636988360452514, -0.019449772238400262, -0.06975314348168214, 0.0024368968189089854, 0.0014739719411532026, 0.04867119072469254, -0.02295311440205056, 0.0428975056911402, 0.13339639287745142, 0.0332465415591426, -0.1014473191529926, -0.1319511004657314, 0.03386257705469041, -0.10543180473807935, -0.023303281246832844, -0.07576342930744161, 0.03191560772106837, 0.03052145508682379, 0.018612434932571177, 0.14145649842863878, -0.025544419992388462, -0.022154061960247495, 0.009148027766645939, 0.0788070815396156, 0.03248976429724551, 0.053644681642731715, -0.0009813050104916393, -0.05707858122586001, 0.10228545175094499, 0.07619692170674491, 0.08966358383315982, -0.03433747452335365, 0.02083554243824424, 0.07534904608751897, 0.011573582840067482, -0.05906343639192007, -0.009219408698527689, -0.04410462335272263, -0.1356744531291074, 0.054654674928791634, -0.0636027144369554, 0.04334092954330029, -0.02103084207556748]",Movie
2,"[0.041235646644761655, 0.07737487636419477, 0.12304081445027942, -0.03432591649444511, -0.0022515810172112328, -0.08279521163925141, 0.17651870919526622, 0.004043605832995171, -0.03939998526941565, 0.003946722374490375, 0.043861361008693346, 0.11864028880643171, 0.009962803121500925, -0.054896214654578036, 0.07157670559070228, -0.015228296816185276, -0.023933544762699727, -0.06282307415832368, -0.031007977838330942, -0.05621830422502124, -0.003403188583857141, 0.04562113792099828, -0.04313903047471049, -0.039628183946483334, -0.06391321150875887, 0.003909628368661192, -0.012469536521491367, -0.046873525843558826, -0.029966749065854552, 0.004478936391313949, 0.029305459045314022, 0.01872156574228796, 0.056127255563906096, 0.09880091307180838, -0.04032404637675017, 0.0004771350657923757, 0.00737491342039276, -0.008384575358360433, 0.03163818644603817, -0.06763152134655784, -0.0875965614288436, 0.007733140912519481, 0.010335265081330822, 0.043838415638205716, -0.08030558268147597, 0.0916470352933295, -0.15632917204666788, 0.05401947819355417, -0.01108544424961921, -0.05625699370298417, -0.08797279279978151, -0.024598126706756717, -0.024710747420573484, -0.08723626746851472, 0.05972934117126074, 0.12318153913164555, 0.04023151476323585, -0.048105553464405405, -0.01970818205179938, 0.057426633458695, 0.10352248348447061, 0.04342101647002298, 0.055776719084149225, 0.051226807624495066, 0.03540710419830006, -0.11633657707161905, -0.08206055586665127, 0.02971771115692063, -0.08007157048478894, -0.023611341617643448, -0.03363096864766181, -0.10734114938501846, 0.00901488927299873, -0.08561289044059855, 0.040461271405859096, -0.03504261527145678, 0.04796898912809689, 0.077810102697503, 0.05232716984516893, 0.028899750389040742, -0.005952108228946309, -0.12127273127346627, -0.03192974527415312, 0.06896638623455659, -0.06576088941473243, 0.05095813357931837, 0.03837357736556682, -0.0222062600875923, -0.07284947689594799, 0.019593831707703808, -0.011136257007701468, -0.000458489022069753, -0.04341434895446949, 0.06525968612526789, 0.014435468340813594, -0.10663767600450061, -0.023583077525856436, -0.0010020575693998428, 0.004618842780123231, -0.0007973684843734148, -0.05017072047681293, 0.05995427100578316, 0.07836416718124323, -0.14168871583044296, 0.0030563446988510373, -0.01578877203967446, 0.016677999633796053, -0.02978119825330946, -0.005492312562442883, 0.07400413710135431, 0.039681284605835136, -0.1299060993054417, -0.004394107330655078, -0.06794252589290323, 0.05811227101872316, 0.186630771187232, 0.08291054148206199, -0.006740333853765785, -0.11340317028070823, -0.016728871536866995, 0.04089620634190601, -0.01825837969750033, 0.02071228940979329, -0.04534636761430512, -0.05879265188756203, -0.07864355079705367, -0.10133082986480188, -0.06597838717653058, 0.06655402082785103, 0.06299005344442228, 0.01093670830740793, 0.07106466001501963, 0.06423257713691906, -0.08254394641659732, -0.002104636374748665, -0.06311470799959501, -0.004548641284958173, 0.09703587658319275, 0.05871130877483371, -0.009901839063775673, -0.03329674175917447, 0.10358127071810018, 0.03339109676941306, -0.045342671773792774, 0.00626748625869267, -0.001946935278429626, -0.1075394495490265, -0.047836351442012655, 0.11206941327932678, -0.008594752845888528, 0.02819628854900848, -0.015783529774092163, -0.011681793072585728, -0.011623576371712841, -0.047022294243385845, -0.049918618568953084, 0.023147301576921662, -0.05782401276948886, 0.017160824699947865, 0.012603292192117786, 0.043428520670782234, -0.04137514226441173, -0.038009671233246174, -0.02859962852061304, -0.018452670985324222, -0.05989584729744988, 0.014308313827948487, 0.10400422951521912, 0.08082875905551663, -0.011099988867872798, 0.025372559648087267, 0.006337419437567604, -0.13820788610525284, -0.009296193658380667, 0.012184052316482376, 0.09760052946246794, -0.06894065672191875, -0.07640281549214219, 0.10718943816136428, -0.0664094647052668, 0.10980163861666224, -0.03809687402753621, -0.1121031807401827, 0.014835201910669185, -0.0581673537564762, 0.06409417209315788, 0.11371667911242811, -0.05192310282297178, -0.05938578091504707, -0.11655665413194807, -0.08270851374120622, -0.036457348975148865, 0.09485923136504254, 0.044857371273480474, -0.0017105839695682227, 0.008111121388305649, 0.016853494355704324, -0.03757340337111283, -0.0251827273153858, -0.04188905162851825, -0.11251988459410825, -0.13752683588824935, 0.014133071554162643, -0.02604403414716688, 0.03896144104649836, 0.05813839290787129, -0.0527538908405924, 0.048382686685524486, 0.05063734270118698, 0.0039003498182414477, 0.04801372582051249, 0.022229920968186927, -0.0070476497724023274, -0.021791730172641043, -0.00881586999248194, -0.08388477773564956, 0.017985028870535567, 0.00212130191787082, 0.03288207191583535, -0.022683786628294525, 0.034222862843188, 0.11219984384754064, 0.044522627948262686, -0.08654517702904212, -0.10507617906035392, 0.010217591798663751, -0.10180611322361625, -0.013471390599672525, -0.05243079763558447, 0.050863190004314336, 0.022389005119576696, 0.028686952490001846, 0.1004506716497986, -0.033956153565684134, -0.012119095250740668, 0.011093515376733401, 0.09733869892525009, 0.011492545698247944, 0.05702726341413571, 0.011402651806972823, -0.059947127445198804, 0.12242459868135819, 0.08597671578952001, 0.08600062190543357, -0.042906054036605766, 0.02940277130498677, 0.08282721340581105, 0.022893889823946592, -0.06680769224175202, -0.0016528782958231637, -0.05471167651964406, -0.161390805948408, 0.05915951238419543, -0.055013771811108794, 0.03665137338924333, -0.01540308468335075]",Movie
3,"[0.06593960195855614, 0.051408252973623315, 0.17019246045857858, -0.057439322360846874, 0.0030948401493855497, -0.06457969961991922, 0.10216136954865314, -0.036064637684463816, -0.027350048953708045, 0.11152120569153429, -0.02698256661175953, 0.08623070555792263, -0.007134345776381143, -0.09108635496928068, 0.10427167760773413, 0.030244852045181726, -0.01714800125585195, -0.08642865060887549, -0.03003417723176504, -0.11364390184845886, -0.02836878539223457, 0.04012888713166848, -0.08336822283737987, -0.05386117900745073, -0.10893311823608325, 0.02522258877961896, -0.1090441151519043, -0.047979119480409935, -0.06362575546804576, 0.07725574909902391, 0.024994960237102706, 0.009893066467204463, 0.027691832054422744, 0.11450413621215157, -0.03703658260217629, -0.022250898749471643, 0.053532503153498036, -0.009086698699556672, 0.03035571945909027, -0.12482838136358099, -0.096337244217622, 0.02827445840344949, -0.04634610587436703, 0.03296015446447592, -0.06938536680376772, 0.03907387362547985, -0.12870369578651175, 0.02174651635384005, 0.0022158064821300224, -0.028122131090018574, -0.0642342215816582, -0.02798629736059383, -0.005151256469763097, -0.05591522261858549, 0.05642777465614463, 0.05817231971781767, 0.05122111444396553, -0.0742593228259071, 0.019316547978205003, 0.06905233197054711, 0.043664975427816666, 0.024117091570429808, -0.04222747388998731, 0.07939265189128693, 0.03204613823205344, -0.11478084046878977, -0.09826804609380384, 0.04256317866689352, -0.04265172215537305, -0.06529716776882807, 0.016253684468610245, -0.0980986465708002, 0.004991600243576009, -0.07558305831127554, 0.05203429828301915, -0.0976366608970368, 0.06994009237904797, 0.08930963832610811, 0.11854281040931523, 0.043405092643005676, 0.06827350195798682, -0.15961754369028547, -0.027776033095793403, 0.0643420498336625, -0.019105498435849987, 0.13139613422984817, 0.020264595660019452, -0.014874872095386895, -0.14548917159276853, 0.04713356567394827, -0.013550527675493666, 0.022458713499373728, -0.07500149553114728, 0.07074474562403492, 0.0685948650869224, -0.08414282612794459, -0.0019351005819532308, -0.017580306193411777, -0.03417932955461109, -0.007616575767733807, -0.06271751722520913, 0.03390928775806759, 0.08468245233129804, -0.19328827239334892, 0.01971869136926907, -0.0028445408505203456, 0.027022946410224367, -0.0055647381665714715, 0.0212207620096044, 0.004120232504027162, 0.0058085754577703735, -0.15069272375904735, 0.05939550110116116, -0.049906333878079225, 0.032009869430470864, 0.1279696238392031, 0.09471550554404708, 0.014766815148515822, -0.10051880035468283, -0.05959270771567671, 0.08268572571556863, -0.04386896849361976, 0.006288225054632261, -0.005814004894336389, -0.035864088818461544, -0.10338591759047759, -0.09786351518343783, -0.03710199208943366, 0.07938271606370152, 0.07665766518129108, -0.006709500975589896, 0.016089120602126965, 0.06836872168336026, -0.055342873761764395, -0.015197971101022096, -0.04245632856763265, 0.011507057068907468, 0.07493874496613614, 0.022762464368207832, 0.007390136162988797, -0.04714792109871809, 0.10684602132829996, 0.031391732003817716, -0.03153747951794914, -0.031104188161566362, -0.020486690062295743, -0.12584980427795214, -0.03296896059452667, 0.11100706656670692, -0.029439909487411514, 0.0014193992542012126, 0.000578861752539454, 0.04055270280555923, -0.04815006200492433, 0.011332947947096191, -0.06992443642443336, 0.024034094621309517, -0.050626325936602115, 0.08615755626487286, 0.01002388750823909, 0.03827366477591589, -0.04740438999268651, 0.025523281199029933, -0.027154189710154576, -0.015742915148868008, -0.03851314136574697, 0.05268363189378822, 0.060732693763991374, 0.08157476462781546, -0.02977299942782894, 0.011558494815252826, 0.01113935498701166, -0.15072434426857875, 0.04574527210751322, -0.024053586036822328, 0.08810282929093781, -0.0842531617574039, -0.032413953972542674, 0.12982694577915424, -0.06702873508565162, 0.04434319898651503, -0.04246938621791753, -0.0810764963756703, 0.06113410560701775, -0.010486764540910933, 0.0728141200573231, 0.06439638001900058, 0.0008937454805997437, -0.07831185648306928, -0.11075548017037615, -0.04954054332707287, -0.02263505790685574, 0.020928354957234285, 0.02032624683645417, 0.02797351249093318, 0.023694372529755627, 0.017377641211051884, -0.00570122388301851, -0.060092965337626834, -0.03370297743463851, -0.1049995224418029, -0.056527976072109985, 0.017800787332501365, -0.01655614307367908, 0.01893733882477465, 0.03573192522834456, -0.059945735439901136, 0.0780477056458651, 0.035858228168080465, -0.003470206609098126, 0.02280263475932478, 0.04384065166053732, -0.008367678594217567, -0.029833609078243888, 0.027245017391942013, -0.07130065049332697, -0.0032094855060556147, 0.0027325885136745436, 0.05977496374769685, -0.031260981913298985, 0.021145951234570703, 0.07419801606945246, -0.015619815314946866, -0.04708724256430713, -0.057394867385177704, 0.034945393985029626, -0.09073315090202645, -0.05224238305818561, -0.06020919743714514, 0.05097160007823493, 0.0515913521457547, 0.020747156983392957, 0.07811508521540855, -0.009056332567592742, -0.01337801735122993, -0.0004339157037016767, 0.08074859202247299, 0.01176052468716945, 0.0200229657564729, -0.025469163176399575, -0.016802866259891087, 0.08273638576159897, 0.07340216895451626, 0.10589609449107418, -0.034607961597503324, 0.059382545399190384, 0.04130315261176076, 0.006917210332978074, -0.003170274669003175, -0.03495302082106856, -0.014294109747292352, -0.10928322527887657, 0.09188758054662584, -0.0838749390227965, 0.011046686036010701, 0.007623455212415969]",Movie
4,"[0.06259084208379796, 0.1032183241381017, 0.09841248380075979, -0.03350630141477895, 0.0003327286622332569, -0.03791932198168138, 0.05447610157888056, 0.013836813246169399, -0.023560141591723947, 0.008041035636462827, 0.04203889887025442, 0.12123944128587187, 0.00010144195073137139, -0.08493889636089633, 0.06407848773539712, -0.0030872926166986597, -0.0008361565827022168, -0.05401918812089415, -0.02909291607537737, -0.030461151869657407, -0.0001388636463717278, 0.026923579556258497, -0.04321918204406856, -0.025677269687874385, -0.059438173690384594, 0.007096821304365225, -0.008155093821663566, -0.023457303033096375, -0.03898139014352793, 0.014356682990839259, 0.02283344727615005, 0.01711162585453329, 0.0523403327463564, 0.08581405739195958, -0.036847672079227324, 0.004343292293133438, 0.02322751933642911, 0.003418531177887481, 0.029530798174471285, -0.06043937941713728, -0.08391038726897128, 0.003934105151935007, 0.013990505973959521, 0.044177697899523465, -0.025984066337452066, 0.09050228588445845, -0.1619535898393036, 0.03371428780045389, -0.00624854932010424, -0.050943931919583185, -0.07845247156992623, -0.024531585329215535, -0.01750586593993991, -0.07968455243861922, 0.055251481534192945, 0.10542516903569582, 0.039094216862516, -0.05497324915630042, -0.008858503014004525, 0.059413518516111555, 0.09156071781021115, 0.03961340301777801, 0.035431461520748476, 0.05857334692272237, 0.03977533615737957, -0.1396531340650073, -0.0795793543476448, 0.03566304897434065, -0.09605236552013834, -0.01967776591933822, -0.02031929878137115, -0.11326459534271388, 0.021782952742534303, -0.08592603393252443, 0.052246703975276185, -0.023101214704431227, 0.04904517330032356, 0.07592311033859826, 0.04393903615722736, 0.026868521886682553, 0.003005767758279601, -0.12855360668301613, -0.031278345667824746, 0.0695506324341333, -0.05884932747668315, 0.0653942824565321, 0.04179079325412214, -0.023344002397081856, -0.08236324061664516, 0.02394280517667536, -0.007724870508939536, -0.0029949493455526904, -0.05440951192832765, 0.07196083081944077, 0.021605633096807318, -0.11299906394113023, -0.02516393999816954, 0.0010658184791034028, -0.003931226824055421, -0.004641203357493223, -0.05751261721744749, 0.06292657064978435, 0.0859307214027497, -0.17166763659170073, 0.0044602945083469766, -0.015410789346641439, 0.025462352624715655, -0.03139774403624626, -0.0017878300815737098, 0.06501545329115833, 0.035350459048142664, -0.1408261390221849, 0.007999295035330142, -0.07181227362888273, 0.05995152635788466, 0.18521410385355908, 0.0912557392786804, -0.0025056574813883264, -0.11286524126175819, -0.026568581236754187, 0.04753602043239675, -0.02546341247552026, 0.019200534345926897, -0.037115265737932134, -0.056304864089445635, -0.08333312760851046, -0.10295905418571599, -0.05739205847036727, 0.06712208053489238, 0.06753716291667741, 0.007330566516539956, 0.061918362439937806, 0.06173297184363915, -0.07669712311509495, -0.006752527047153792, -0.055714978130510406, -0.0019981637926417824, 0.08677949818044946, 0.05116930962401666, -0.009771948642187873, -0.032267941863541594, 0.10587665973400988, 0.03470254841182347, -0.04459832654663017, 0.006428187568980329, -0.0006489130875142533, -0.10813942109627638, -0.04256695445447207, 0.10397446593436459, -0.015328136781116258, 0.023081565817292145, -0.010285391784756624, -0.005356911773754725, -0.012397004491997717, -0.04597984637877284, -0.055136311080092246, 0.028495691583093168, -0.047585072280746585, 0.014155643079882324, 0.0030380734612773653, 0.034440029973638285, -0.040786916358674916, -0.030760041285454374, -0.039057883223821456, -0.02067042390626838, -0.05562716848607012, 0.01093215855770743, 0.0891259274395675, 0.08274574048480561, 0.000245731296317617, 0.01550263446636756, 0.008013375397408429, -0.13250821161856954, -0.009696859361571183, -0.0013178685569107617, 0.08930691778808117, -0.07447090219168, -0.07388039583227378, 0.10853426004047097, -0.0592056269138419, 0.10820238025518424, -0.041060234360614366, -0.1128122314881814, 0.018571672301846615, -0.0521489047343632, 0.06373783617678445, 0.11265196136650903, -0.04668554904229937, -0.04993751023331514, -0.09284226987201677, -0.07098345881078194, -0.034855224372175024, 0.07391338045731474, 0.03474136078017757, 0.003446387087229315, 0.0076395496469442185, 0.011069172278390894, -0.02755368240128076, -0.021780827296476284, -0.03758915116991427, -0.0939856162400118, -0.11273774896496978, 0.009504882036660963, -0.017238611203714622, 0.042885297446148725, 0.06546796650135975, -0.07117405962214716, 0.07235061464868656, 0.06273531497125531, 0.008959719483900655, 0.0351185728832126, 0.05451255585100002, -0.01797668814459654, -0.03643546479406942, 0.029786848363301522, -0.08497157078570179, 0.026532141325756743, -0.0075694738340224945, 0.04195292744943189, -0.030417545758775148, 0.055265061411169054, 0.14746714693050997, 0.040378310842918035, -0.08563214793163702, -0.12554868551287923, 0.023409052535354902, -0.12975366799406748, -0.02793378683428934, -0.06880254435509567, 0.06201476003534225, 0.03787403561952352, 0.029419622984514785, 0.12792001695756897, -0.03620253313945676, -0.014412032191192081, 0.012054869429481035, 0.10672588457871647, 0.01824884576787729, 0.061149197978232935, 0.0029412522127735133, -0.06231786013211362, 0.13486986941147086, 0.09952863020366096, 0.10579381329333751, -0.05133266451469757, 0.03926164169517558, 0.08549582641703463, 0.015226935390398242, -0.06421702660723844, -0.01313352899558996, -0.05545063008538068, -0.17711847512981746, 0.07198120063490494, -0.06009375891030788, 0.03122425881009692, -0.011262335831979442]",Movie
5,"[0.015253034292767975, 0.09668079098141315, -0.004694261902779283, -0.020797087685939755, 0.004723271801335279, -0.006515640974902305, -0.11605356300732333, 0.17170311353604864, 0.1158270474724888, -0.1702045819361879, 0.05706527804410549, 0.08131715738242087, -0.029704831970565487, -0.09063628260758179, -0.04657035108731317, 0.004858002641708183, -0.07308136661655584, 0.023437083351161306, 0.020965100806535988, -0.09327395872813166, -0.0328533962779662, 0.03317408451307134, 0.006485314046744592, -0.025969765844748947, 0.01743881674749421, 0.006623632657411831, -0.08330559959213095, -0.05012740741082163, 0.029097805367620577, 0.04217424591038742, 0.025461849277956743, 0.0007122212921333909, -0.009458084388053388, 0.044532942218607686, -0.001358905195067016, -0.02333373550282644, -0.056015954535553684, -0.07048029348030486, -0.005176408951875508, -0.0688039364487236, -0.03289186194746607, 0.03602107818849961, -0.07343755432376657, -0.018764065752685796, -0.14724130117045223, -0.025134813814240955, 0.04775942207858596, 0.03875770166527196, 0.023648884486307687, 0.03761152937159747, -0.0016412568031377642, -0.05394918193944398, 0.025322475959075264, 0.03603919531006147, 0.11916041346928417, 0.03422167548036633, -0.03923455449938918, 0.1465223426415213, 0.0033295725041726093, 0.0687545034405949, 0.05694231913018293, 0.10299668743749729, 0.08627697020820684, -0.15335753512551636, -0.03360897134785684, 0.10925456138513728, -0.10176815029515379, -0.021352928404507886, 0.07314726283362252, -0.06054289233502451, -0.05363863679798788, -0.01324853557394544, -0.07745167617921347, -0.052042133921485934, -0.0642391159161695, -0.10357741140705824, -0.03130966677082673, 0.00976188170157068, 0.16051494232462846, -0.028220963255081638, 0.06281436508732662, 0.1382482787107405, 0.04566075337082499, -0.05290444058225996, 0.10518066550066421, 0.06020502781062059, -0.06951405603477936, 0.0500891017099198, -0.06590154754572418, 0.038184591116445184, 0.007095906729326472, -0.03431441388591886, -0.003045797700899851, -0.014418616394697529, -0.020436654032550364, -0.0049898465911527735, 0.07125517594658012, 0.033797452315006575, -0.019828016898296302, -0.08778808238933775, -0.04661395473127574, -0.010029783010652488, -0.061429845005226455, 0.05872831158940196, 0.11618807761895567, -0.14642197996990594, -0.050300070466089905, -0.042439978153732995, 0.002114615238462261, 0.04143934745962739, 0.08660205893542436, 0.07487136100205823, -0.021089296087928196, -0.059367291241973714, 0.08282393685474365, 0.0164940611867539, 0.11848447835923138, 0.03878853222338031, -0.05276338081476856, 0.005839536406588886, 0.023781357464815786, -0.00035114897174191634, 0.07725118943321371, 0.040887816403543935, -0.019781053913774747, -0.10363349260166847, -0.04373925124106713, 0.04570060995372822, 0.02190610388355262, 0.01354564877582993, 0.0792746728998926, 0.05102447877268309, -0.046607311967458535, -0.07492479051380592, 0.0831125581642708, -0.06662380305457415, -0.0007728604055801406, 0.16450051385232223, 0.04621029702042762, 0.044761868127741605, -0.004000343543190551, 0.03604745945051651, 0.10830444552069632, 0.03937304121265098, -0.07010285977420776, -0.052674649758163716, 0.031165093116842638, 0.01933781075324042, 0.007697867885944241, 0.03126316471277412, -0.014215388491873598, -0.05747929304384411, -0.033879283031238036, 0.043214323776238545, 0.06350123771135432, -0.0012256201725739178, -0.07539452881230829, 0.015121016818064485, 0.07870232694673784, 0.06444737334016933, -0.004235185579120038, 0.00483196097404561, -0.0007307660416159873, 0.07999986207015082, 0.03362912467987859, 0.023746804247637636, 0.05180388916368273, 0.021625231561368155, -0.10742885875495221, -0.10487945818720258, 0.03224020952833039, -0.012362633544959483, -0.02173551093039636, 0.017829526491563125, 0.06517743206300539, 0.030235133295755588, -0.0012885950139562403, 0.08535762796389863, 0.02850933512204912, -0.004014513642945518, -0.0688005689741681, -0.02148281883912378, 0.019835771308303326, 0.03149625251678943, 0.1627809436086109, -0.03916139191210613, -0.07810435890457387, -0.028526115556851032, -0.02060923303652136, -0.043295715256658415, 0.08902985625533659, 0.08097757387342099, -0.02999868615118129, 0.007352189302225555, -0.10423311997912067, 0.0762793503754244, -0.03434654317213677, -0.0489164668142633, -0.03197268509442026, -0.035282573665953096, -0.023308693638901663, -0.04756124538759528, 0.0031022788170052035, -0.0803288876516796, -0.016050728552257955, 0.039084240955200585, -0.02157276321687483, 0.0017201604668331373, -0.011584563907718047, 0.024691633014346546, -0.08217623755791226, 0.07307941988005758, -0.024901172898462907, -0.021738938054259603, 0.11241845827596098, 0.08109479018580687, 0.047322751187232406, -0.028837653045881453, -0.049313351617350044, 0.01080952757334212, 0.07111187119605172, 0.04429797546139837, 0.00673831455205154, 0.09766669643050191, 0.03952384279663022, -0.129106165517649, -0.1296572817399104, -0.028379269806508237, 0.04582254398409041, 0.17878687010808703, 0.06229799729815962, -0.07979112745168904, -0.02667826134283471, -0.05288744052955225, -0.1156133511161554, 0.06632953675146847, 0.04557637129102128, 0.025671386450740935, -0.049166782422888626, -0.010407146899946202, -0.019541269119298824, 0.0263527794724525, 0.038577869847745444, 0.0012901567412863261, 0.018522239325085645, 0.04568962905843855, -0.028265938833122374, -0.021346319532342808, -0.08736535316800381, -0.019184483563344554, 0.002649978790272551, 0.007612346368795977, 0.007478975261506472, -0.0261454330560619, 0.0005884304652447725, -0.039267198938719446]",Movie
