id,embedding,type
1,"[0.024152537753959303, -0.08968291467967597, 0.0230270229574771, 0.009654781694467339, 0.0009953009866657148, -0.04415777941118766, -0.08724985062066944, 0.08712202830605469, 0.002159811159520392, 0.03450665073303126, -0.03114435037279305, 0.08032933057263966, 0.12046606354973667, 0.026382200564082928, -0.033642910065532335, 0.0005345891542707055, -0.13085101765296164, 0.011977253141928781, -0.052646676894650184, 0.03317856978951349, 0.042665335643551135, 0.021628585052835634, 0.07659914789489045, -0.06429737343605998, 0.036922261902456725, 0.049878584755057444, 0.015333188252422678, 0.06147070296653187, -0.13094229058973417, -0.12179652712011799, 9.723172101594785e-05, -0.06179863637655667, -0.000786611252101824, 0.0070651345610295594, 0.07919412416055929, -0.09104891663734449, -0.07696933006810844, -0.002362663495220018, -0.02037524498562595, -0.036208975548663445, -0.04030838853133034, 0.09660449301606448, 0.053975041624990415, 0.04266483014827364, -0.01942995255807998, -0.020501521253280856, 0.0006668599566573884, -0.02170241692447805, 0.023456658469999718, -0.0001269608964356926, -0.09704905689789341, -0.07846620504873311, 0.03297865970976934, 0.023856543663968156, 0.0336065232738905, 0.03101875696717968, 0.05448216276449457, 0.019010627966773278, 0.020467326419231224, 0.03277047842659568, 0.03111225585684087, -0.04349435085476469, -0.07759907076381564, 0.025187520119908807, -0.0005369776933597137, 0.1538167855204228, 0.052112791110453104, 0.11101551303280228, -0.10480305293125222, -0.025355867783992878, 0.09548550975066789, 0.08745687901987687, -0.04452330866296247, -0.021498192398198744, -0.03040969723615899, -0.12924387375513624, 0.07925194572563479, -0.004611124965246831, -0.06715787365971511, -0.02332507302387469, -0.01910481119653237, 0.10070525398613805, -0.06449884434332764, 0.06611944446631784, -0.023653693730110125, 0.05455274291212967, -0.07498061113858852, 0.011310193740040378, -0.02862453327338414, -0.07427081299782126, -0.02365420070344399, 0.055640119420175195, -0.08858404480532096, 0.06661796331776629, 0.07497406039277014, 0.03214500635767627, 0.07481002569716487, 0.07626415528765704, 0.011022143463993458, -0.07464006695164081, -0.07717708567104842, 0.030619935973795455, 0.0017368572008046187, -0.07842603147667912, 0.06429343589389841, 0.04283385771828651, 0.020128427309019946, -0.01334529851252462, 0.02223974953612288, -0.020871701948442487, 0.011685576454585525, -0.0993870405469261, 0.05779066187297542, -0.002288144142609923, -0.07953619370167771, -0.0011236336926196773, 0.07327894257998327, 0.06512157905185546, -0.0186024907841081, 0.02179330261048245, 0.0874868953885771, -0.018345138999774767, 0.07684278479419475, -0.0008302068941594164, 0.023157238245349956, -0.04346002151758566, -0.06532375942617925, -0.03371004338571969, -0.08868504926521358, -0.02282587574455381, -0.03085954664755616, -0.009892671910616902, 0.1011218293926022, 0.04196638348040464, 0.09813369604554732, -0.02249572968414767, 0.06465742205482611, -0.07899700465123598, -0.10538815041245175, 0.06652502904563729, -0.06399932041354967, 0.08649433915258482, -0.021701732584380143, 0.009654095876313069, 0.0004062563559382201, -0.06768778642839779, 0.0013653044998203565, -0.11048091778154907, 0.04250557253084637, -0.14175848241858355, -0.03314185486935819, 0.11823172712538071, 0.0339758422621902, -0.014169360756852491, -0.06512157905185546, 0.04353385043311535, 0.07597469272875149, 0.07717150453020677, -0.08015859141335385, -0.0561357590178208, 0.01983603228628235, 0.02096172740564132, -0.04504646967016088, 0.02256750410132727, -0.08509284019320738, 0.10852913843675223, 0.07589740220521039, 0.03653812687713462, -0.1208005181444525, -0.08586681554142807, 0.05157376169009901, 0.015791331038094863, 0.011815278117870863, -0.06612013619669758, 0.08898465720302194, 0.016159455756850055, 0.11850828920831544, 0.05278032866357622, -0.11852204104475364, -0.06907015933838677, -0.011676766499610258, 0.0038590876686527636, 0.020795259829256025, 0.013004118761339122, 0.11160781160462165, -0.03251518557478153, -0.032971913860510536, 0.07507578614416985, 0.11979954289939403, 0.02302890452323224, -0.07680107404351913, -0.07567836607607778, 0.03277699961128672, -0.05484426292549803, 0.14337269733806848, 0.012477646907878719, -0.00952434691522399, -0.013670113223615133, 0.03993541578769152, -0.023489106241423603, 0.0625359263657494, 0.08818928551083315, -0.003983261401125668, -0.07034181400203945, -0.05720211165210268, 0.031645476515672816, -0.021959589863990978, 0.054345927353039086, 0.06768435142540098, 0.000626669156008874, -0.03426599950758822, 0.08818995950453648, -0.0443989450002464, -0.06578464105029942, 0.06665696035695218, 0.09698103083166042, 0.02195839707250284, 0.014169360756852491, -0.000996495071453173, 0.008153025432690782, -0.08503399581312596, 0.0011560821106932223, 0.02286555564578123, 0.0035185915185369844, -0.1491631900835277, -0.0006675457748116582, 0.07776688337149487, -0.09077380304964938, -0.02177165204081921, 0.14283001416237526, -0.04403082028149122, 0.011278123612018251, 0.045157193828722623, -0.03227539753425679, -0.012305722347386604, -0.1076204293823449, 0.023156728315903354, -0.1514887876202053, 0.053643856490958305, 0.0674842462422164, 0.07580670275430823, 0.05633739546740155, -0.10805114683212813, -0.06615707578142066, -0.02435282178196429, -0.0009932432550673368, 0.028160547730893357, 0.008328074604342652, -0.019601779566851874, 0.03015161085781128, -0.013382926871514702, 0.07883142095255811, -0.04366081251892452, -0.054728673005376254, -0.0829716164665022, -0.07447747483904969]",Movie
2,"[0.05819202344577436, -0.084447682970709, 0.055530606302185696, -0.0004775423602320362, 0.03940270175583518, -0.0596087661999819, -0.010948435802306946, -0.015171913391668783, 0.04119293477753223, 0.06541989907011285, -0.03672363802238805, 0.09029041865776784, 0.0008136878536551487, 0.07913546813329665, 0.02560294666293929, 0.07622184648605634, 0.014649094168712493, 0.04758508882417188, 0.019391803128319035, -0.01674917504197403, -0.0034506355446201355, 0.01800679392852949, 0.09539242543892029, 0.10144911897115995, 0.16758575661774372, 0.10078611350312491, 0.11914147883639797, -0.11510589776208584, -0.08617178956416892, -0.04343500547897474, -0.04427464026745715, 0.0315381731816389, -0.08574731464684249, -0.04792239749127299, 0.09215428362815706, -0.08162469805979515, -0.08604544960781561, -0.002779984347600168, 0.03135003599075512, -0.057371889342464726, 0.07215258268020092, -0.03258247751089102, -0.054879373150873885, 0.011853268485716034, 0.011703224931013521, -0.05756774598787828, -0.019500021085758913, 0.018316681892732993, -0.05238660736952919, -0.044616156304694586, -0.02622179257238255, -0.05214582456842275, 0.06421033958205308, 0.04647660724380793, 0.04769828966276896, -0.05502822966859231, -0.03804006055208109, -0.07319040064715955, -0.0738394885151109, 0.0856259961986321, -0.04447769044613343, 0.015658974425426252, -0.016589502968255457, 0.08620359442994516, 0.002712048207940969, -0.024999860563667667, -0.0027318263388669147, 0.07223781758114049, 0.15279184690827988, -0.052075672019751496, -0.07665656052590379, -0.026215630082507744, -0.014309935863256958, -0.059858308412925824, -0.03175493296893734, -0.00757701306298812, 0.16274980062896838, -0.08821510362496267, -0.02351953184836039, -0.017890450933209838, 0.0636211057141201, 0.045684159775336027, 0.08954856065535594, 0.004712739247065078, -0.07552846237940991, 0.017017478084748967, 0.05877590301922595, -0.04231206552072708, 0.001216991561529964, -0.08685582594027237, -0.05863563952017577, -0.00020234082565376274, 0.021122272774848815, 0.0011463038991119034, 0.0010296847579857214, 0.03349166167280621, 0.029284674835037997, 0.08653564982698905, -0.03617383933556328, 0.008011325233618801, 0.0588913858212868, -0.061314842905032786, -0.038363620983574334, -0.07139788269069215, 0.008487935439260475, -0.033591646139675656, 0.00805604191219686, 0.0036188137262890933, -0.03164252546920071, -0.02380018809829758, 0.030395292784842636, -0.12560794526093969, 0.14938842913956285, -0.056733094080553076, -0.03328221724234084, -0.057592788159847835, -0.039542439333618326, 0.036282149403507546, 0.0612312897636251, -0.02946675056047115, 0.10500374058980425, 0.0777304739253596, -0.07495568360739144, 0.035910123990168616, 0.02064217054113319, 0.011227319667861143, -0.017351689164726417, 0.001235054505724843, -0.1166795730453328, -0.043190758134380336, 0.03915805625615725, 0.07938770829262742, 0.14516387296590758, -0.05217384993221212, 0.09828571740644824, -0.023956209921866103, 0.012785150458698553, -0.06398274938222152, 0.05711042030485471, 0.07798815157575638, 0.05577285098613612, -0.01392305837391069, -0.0005033220662100864, 0.017017501855201716, 0.04495970174433534, 0.001393091896550365, 0.016395559844288084, -0.01372539220278173, -0.08684925935270085, -0.04210018461885508, -0.0421551181351547, 0.013837823472971113, 0.028634505411486637, -0.11107015029460449, -0.03853353217981392, -0.03593831277582064, 0.03407007998473906, 0.06857454716560027, -0.14961027877505584, -0.06891986647527731, 0.03505434015035083, 0.034329014497824856, -0.07202718759934433, 0.05425094180636017, -0.008116520629426496, -0.07099913334585177, 0.012463396581614125, 0.09014623897662749, -0.04455769287616195, -0.0032107266790654863, 0.046949784847507524, 0.1658333156446087, 0.01884691898259982, 0.01516828394066489, 0.024143519603863607, 0.20345589276377776, 0.08960123597864454, -0.04542526983184912, -0.06050215489604633, -0.12719842625427918, -0.02538731597214636, 0.0723278481709219, 0.006814381170528145, 0.030660493783534016, -0.030221007825297498, -0.010146236505595353, 0.020886432742260565, -0.0473823536039945, 0.004534666985853271, 0.0002006899630677779, 0.012953330868847457, -0.011397702559022437, 0.04911466397495892, -0.012888437532846606, -0.015422118205983045, -0.004551847080576573, 0.06715003741595746, -0.02930597613200641, -0.07740853879857297, 0.00837710124636507, -0.008735480934173603, 0.04323721154166226, -0.09929266349790097, -0.141331493606908, -0.04299918611307453, 0.06620636232710556, -0.00448310664536386, 0.014258477290018374, 0.0817622101289398, 0.01668545982903748, -0.07150654931542763, 0.024018668272113623, -0.03490580453374449, 0.009119687218892366, -0.013324827389612754, -0.09051203653134657, 0.048630602475207535, 0.10908270274038068, -0.008327250149993538, -0.07328818634714984, 0.03304523474236741, 0.10491468458858551, 0.02257312167178922, 0.09109958269713447, 0.10772809594965527, 0.05152667558570695, 0.027770936748394023, -0.0870327910183648, -0.05612249651821322, 0.024552496185998626, -0.0025830415039200505, 0.017836004711191542, -0.01669834490007996, 0.007298835625576515, -0.0879654960432737, 0.013141383377493323, 0.04663214028744183, 0.020065945053466316, -0.043355139729049516, 0.04330095498201145, 0.03396122616768818, 0.06794323365369091, 0.04117653910774959, -0.03843835231570608, -0.10461503426124971, -0.08809576406694353, -0.04567556378536119, -0.13654173549304754, 0.029338574336643098, -0.07524007330406328, -0.0190221829876675, 0.13830041621002878, -0.020026398448360853, -0.020420714603763813, 0.12841086196712143, -0.07858351822049822]",Movie
3,"[-0.0629102650659553, -0.09504945853058648, 0.03482585164042228, 0.015751716611634128, 0.0012289162726744113, -0.010207546374832116, -0.009716273733201518, -0.08303985529220213, 0.0235008333436321, 0.0215461193581375, 0.03812295475247825, 0.07000364848842942, 0.0639861610918609, 0.03796682939525084, -0.02150516220828612, 0.11029069916454526, -0.009098457131670118, -0.07700133052479664, -0.0016480493798348753, 0.0324154473606218, -0.00228694535441246, -0.04536903822426276, -0.05043145681360975, 0.0032357140152820796, -0.012827822556872624, 0.08811749977490889, 0.01790846307381622, -0.07881923646867194, 0.10820114883585204, -0.04683697065897389, -0.03256267343038286, 0.06131929391298016, 0.048315581646543, -0.04248076648368585, -0.0006650741752823401, 0.022732215858761593, -0.06191110541101706, -0.020009409878591188, 0.0182234951856678, -0.026247048061658947, 0.07908822823819717, -0.03189169794470448, -0.09099506631805455, 0.02738184931800966, 0.04507019861167839, -0.014539988031541079, -0.02561192729005408, -0.01460729814459331, -0.04752247631859933, 0.07347484428160944, -0.030090018545939994, 0.016580117117613022, -0.0019213411024004987, -0.0017431945604751257, -0.08310302069385953, 0.09486895042832484, -0.01883883680239485, -0.08194356136521765, -0.03477902528318499, -0.05070940708076412, -0.02080892914741838, -0.07741666613265746, 0.026258460820535456, 0.0005569796857834086, -0.0739587452579735, -0.016771166109104185, 0.08146472877878784, -0.1187637800371506, 0.07831564811318238, -0.04085874848185521, 0.014490794748046517, 0.016253087546527444, -0.07943756227760328, -0.055618746675758904, 0.021852845764404633, 0.0083965213919993, -0.04628649377557611, -0.06305215630004957, -0.07166664288341436, 0.09370404968572316, -0.02398781472871497, 0.22644476759295, -0.02829457397731661, -0.07100613575451609, -0.04075794910073265, 0.04696049786108087, 0.015995245050654337, -0.030898607331451545, -0.05257279235067338, -0.010579185622685783, 0.03618025154850427, -0.06692719500849414, 0.010873213669416964, -0.04173146779467751, -0.018219674649914197, -0.01694244630749602, 0.00015699667177912296, -0.05124503405533581, 0.062459142835708165, -0.0014489309683151203, 0.07847779514396487, -0.06770497378580131, 0.1029384429893656, -0.012688098414736228, -0.0173376341772157, -0.011602076710867628, -0.02186988348874557, -0.07775884166338305, 0.06952518300500889, -0.03940424195155523, 0.05360219063574513, 0.082847807129214, 0.027438235156028345, 0.08781879042468264, -0.11197026648409329, 0.03272083857771817, -0.03533163965345925, -0.10234098876281543, 0.03468071864991562, -0.06316325824949645, 0.08564431495950911, -0.0519788137606786, -0.04034877727081759, -0.05246601866412598, -0.008285335808197495, 0.042288297928541954, 0.09783041185111838, -0.05591568564211793, -0.08305706768652328, 0.04836478233130792, -0.010402097647451923, 0.08281998427372206, 0.026927754737590792, -0.07481456895084555, -0.03700932408983076, -0.0010432058174852108, -0.0829718642622779, 0.07330797227983683, 0.10861630681322451, -0.043402899637859094, -0.04759952946393758, 0.009375366040086534, -0.0032668511596358287, -0.03427364582027123, 0.07577986039267165, -0.10568579454251789, -0.11836409959632974, 0.025196591682193265, -0.00559111242392025, 0.02189550668669011, -0.04330479135863505, -0.058758412925481805, -0.026373230839566764, -0.06250609649479544, 0.035729129318257134, 0.04529020285302473, -0.02208911059670538, 0.10728015843782052, -0.004510696812276691, 0.03197572900772676, -0.06397995586680119, -0.11429591141586926, 0.07049326324550209, 0.009504485642068414, 0.043606162205678416, 0.11187004736256602, -0.1029727019895521, 0.12843965615653904, -0.0774018399078965, -0.06899715861533859, 0.006083413472065695, -0.06573014906851732, -0.03753482908707462, 0.08976615346846767, -0.06534835601787332, 0.04518980017999283, 0.043070564836188124, -0.05961954184893926, 0.1407591357818506, 0.07195849569679029, -0.00166057602989875, 0.05096581076968159, -0.1032333924942551, -0.04490120392556999, -0.04624673415126702, 0.0009874334522624914, 0.08156651104861261, -0.10833270197552432, -0.0820089767530608, -0.040947427542655984, 0.0317387344101697, -0.017158119325434755, 0.04191866960584183, -0.04965240205729459, 0.22590519722153693, 0.07209816654978017, -0.032511353021790305, -0.06447563374454288, -0.09347339057558393, 0.05405331286599227, 0.05163785203829008, 0.05393869975389234, 0.012679421165380312, -0.02191679866122704, -0.020041414451829713, -0.027737924434448658, 0.03351810045908924, 0.10430935957235604, 0.03648643026076566, -0.09078025776849245, 0.08537196005273778, 0.0545211442041769, 0.009255521710104684, 0.07166891655366524, -0.007352965216878994, -0.011587259367631069, -0.03485698730452196, 0.00447869001865706, -0.07102842838080406, 0.02031891324149286, -0.009715674230303334, 0.057460620893528935, 0.05505678894179742, 0.03635851558559642, 0.10245640121211294, 0.0849056444947204, 0.01773618962494369, 0.0287349229184453, -0.113477330915388, -0.003379218726312199, -0.03456421673362289, -0.053292225433573745, 0.004173193703521758, 0.08782978575191153, 0.002993357937484983, 0.006961560136434143, 0.02105869537708783, 0.0991849805081643, 0.004798308327679734, 0.042307662612280285, 0.11002113897745731, 0.07957353841643547, -0.012971253255199263, 0.06604422345598587, 0.002293642578918545, -0.04924924301941019, -0.082322192593169, -0.10946003979085618, 0.11137741880820767, -0.056515324723674806, -0.07228752065036166, 0.021122825904398585, 0.009166920362642557, 0.15886257200069645, -0.08659961172585737, -0.07544296048745007]",Movie
4,"[0.02823658848891979, -0.024979690085563704, -0.004616696459978134, -0.05755455364047609, 0.000981146342324506, 0.03609142234773764, 0.006489414614372841, 0.004901526023057703, 0.05053593268413858, 0.09024544114780525, 0.09405387339792222, 0.06768911724147167, 0.10829984880167619, 0.036199359337521136, -0.05190929662057795, -0.041028063759651845, -0.10447792629981838, -0.02334796566401918, 0.04411430928041769, 0.050639883100861, -0.03471692923170096, -0.02760433177922206, -0.005976929939634557, -0.05799166894666148, 0.0845407958704654, 0.1612017032738065, 0.14453387425235198, -0.054329604729864145, -3.683611479458004e-05, -0.1219026231396354, -0.04530505162956958, 0.12465597633153074, -0.03136314003048417, -0.10196365966541887, 0.029373417753849825, -0.07084645315412672, -0.029777598155918353, -0.09449923740599356, 0.026246881188142175, -0.07743810644479794, -0.0021290746826714006, 0.04681085605257128, 0.03321327833689679, -0.046861582274481346, 0.0907815828090208, 0.10624383140247705, 0.045930766885048394, -0.015646116172023525, 0.1139681027471663, 0.04689761119059827, -0.016646398570476336, -0.021675424544961703, -0.06247816605703668, 0.03205183175867679, -0.029093465078513823, 0.005859839706218732, 0.027629877595629182, -0.04595288622543608, 0.016153969937465002, -0.007230408773396186, 0.056584932811088784, -0.016782165194818014, -0.11538019424910503, 0.05061227361139672, -0.033944127101779555, 0.1424121907165706, -0.0049397174528861935, -0.003645169952822151, 0.025703590052924538, -0.09749981803110223, -0.03760880310799031, 0.10888064846765551, -0.11862154471800582, 0.06416752057044302, 0.045867338141461385, -0.015871508806127012, 0.030133127989819354, -0.10448620495341777, -0.12769331968973602, -0.03393363801172706, -0.02833335648475532, 0.0724796242434312, -0.055205758242238834, 0.016584359586393715, -0.0013206361912775641, -0.019810314874577805, -0.08590894221842063, 0.06490064267037714, 0.16730183696596979, 0.089392643981584, -0.010331850295984237, 0.027336000368707217, 0.01280556904949905, 0.043113793258599924, 0.019574852474410213, 0.022947189274184994, -0.009124669697694541, -0.014929515437232057, 0.0377857638214345, 0.05203104434543627, -0.0068784686523529585, -0.039352397179295166, 0.11882367086109623, -0.09593800390393672, -0.053246574732644825, 0.0031185439509717598, 0.012330608255775595, -0.09858506445511733, 0.058239579278941626, 0.05531513590943959, -0.0005444840558051475, 0.0017891296612729073, 0.06470290145813677, -0.02887896887776584, -0.0945683300185952, 0.015430922096352004, -0.007935017590912474, -0.05818425247384463, 0.07156319765714278, 0.020331581017305138, -0.08281249214888012, 0.056664226977293744, 0.00917504548455717, -0.07255970314452871, 0.03089987687845118, -0.003076220307875515, 0.03294632770037229, -0.054633842254470745, 0.04847770784365768, 0.00687653227407799, 0.04371022172866088, -0.10857399084460162, 0.05983640695913788, -0.019743329365017825, -0.02033979227954926, -0.006179057954707061, 0.038514354227122634, -0.11544413516699216, 0.10267712146064009, -0.03513535466868944, -0.0035867656091674847, -0.01209300580568153, 0.004390493632025646, -0.08021359395293769, -0.018740227012743076, -0.10172801156462785, 0.026630385922411622, -0.04068567973278694, -0.048486465724672384, -0.03562799446128064, -0.0607053660699403, -0.007345358956885538, 0.010628963805545188, -0.10805045885475129, 0.053739591916825584, 0.037539210301773936, -0.061369401547615464, 0.05792720087861753, -0.08700678633311557, -0.07638622023923078, -0.12076899870804522, -0.07980197354524654, -0.050419246798854414, -0.02231198082312612, 0.026713789463702828, 0.062365505682041085, 0.038821877454695425, 0.1606161352950449, 0.010459464812715868, 0.04841199378433393, -0.08598330034224794, 0.10579037444142975, 0.006972868965239748, -0.034509510620842766, 0.04253488055056837, 0.09444540818656938, -0.05897772128605107, 0.05236008188878492, 0.05458924415313389, -0.08263400988839233, -0.015467425747127216, 0.1600622202870642, -0.059928298816022685, 0.0568065814810102, 0.12757707109946834, -0.06275526133890892, -0.030350772115651622, -0.021038923677467177, 0.06081785272499785, 0.042867281671338194, -0.03867336188352095, -0.04543007307670871, -0.04910720600054606, -0.0864501696805811, 0.09547181746467037, 0.06406691875528504, 0.06596075361645948, -0.09830892163773301, -0.08042243527018507, -0.06656683851893884, -0.011934003390833071, 0.0016491387221445968, -0.06032251128785286, -0.06011515557559293, -0.07707413921321622, -0.030783244906251242, 0.0016106912051660526, 0.07036763308212438, 0.011711099744117827, -0.0006187837737912231, -0.06358410911505029, 0.020885518489070918, 0.0038415547268393544, -0.012612048033684715, 0.0646690739929589, 0.03371671871736044, -0.04571284121310963, 0.10411679250032965, -0.039207529726819706, -0.028471011564630437, 0.05615944476006724, -0.0562760647515818, 0.028039362446150875, 0.14487649789292453, 0.044808922462360685, -0.07155391262597123, 0.023435147613962936, -0.12298517390943942, -0.04632239751917861, -0.0630216398977064, -0.017993183356394337, -0.017408193445702446, 0.07950778781567598, -0.061621810627256794, -0.04938111142493517, 0.04605229895756983, 0.008145556421520005, 0.033894047836880145, 0.020205368989556112, 0.04469331483876096, 0.03768557533992222, 0.09472438443604671, -0.07459445482717368, 0.012765009936721817, 0.00593035689719166, 0.04269565236288928, -0.06550303153141596, -0.057545478271298744, -0.0004089886816684612, -0.02438098528528004, -0.0790451296882548, 0.048536452139260076, 0.01865682796420889, 0.018356666867803732, 0.03419523927222821, 0.06191657142972573]",Movie
5,"[0.08773994509595019, -0.014623329611631163, 0.0838312268215995, -0.043869972547975096, 0.039961286847461204, -0.03315534196251833, -0.10236331764582075, 0.014623329611631163, 0.014623329611631163, -0.010714626143569933, 0.05849331844652465, -0.039961286847461204, 0.14623319247228547, 0.025337958716458987, -0.014623331092260107, 0.10236331764582075, 0.029246659223262327, 0.1277012615559903, -0.09845457568140696, -0.05849331844652465, 2.012916537566942e-09, 0.029246659223262327, -0.025337958716458987, -0.10236331764582075, 0.08773994509595019, -0.043869972547975096, -0.08773994509595019, -0.08773994509595019, -0.07702531451049342, -0.062401965650685974, -0.04777869674484155, 0.043869972547975096, 0.05849331844652465, 0.029246662184520215, -0.003908701247117812, -0.039961286847461204, 0.0, -0.05849331844652465, 0.039961286847461204, 0.05849331844652465, 0.0253379557552011, 0.0838312268215995, 0.039961289808719096, -0.07311660215865852, -0.003908701247117812, 0.043869972547975096, -0.07311659623614274, -0.029246662184520215, -0.07311659623614274, 0.029246659223262327, 0.07702531451049342, 0.054584600172173973, -0.043869972547975096, 0.0, -0.062401965650685974, 0.062401965650685974, 2.012916537566942e-09, -0.16085649987448247, -0.014623326650373273, -0.014623326650373273, -0.014623329611631163, 0.12089521302702126, 0.047778690822325776, 0.05849332436904043, -2.012916537566942e-09, -0.07311660215865852, -0.07702531451049342, 0.029246659223262327, -0.08773994509595019, -0.029246659223262327, -0.13160983768996226, 0.018532034560321337, -0.043869972547975096, 0.0, -0.014623329611631163, -0.12089521302702126, 0.01071463428702913, 0.039961289808719096, -0.043869969586717204, -0.029246659223262327, 0.014623329611631163, -0.043869972547975096, -0.054584600172173973, 0.06920794903198142, 0.05849331844652465, -0.01853203159906345, -0.014623329611631163, -0.1169866368930493, -0.08773994509595019, 0.043869972547975096, -0.003908701247117812, -0.01853203159906345, -0.014623329611631163, -0.07311659623614274, -0.08773994509595019, -0.1277012615559903, 0.09845457568140696, 0.05849331844652465, -0.03315534196251833, 0.039961286847461204, -0.014623329611631163, -0.003908701247117812, 0.01071463058545677, -0.014623329611631163, -0.04777869674484155, -0.06920794903198142, 0.029246659223262327, -2.012916537566942e-09, 0.05849331844652465, -0.05849331844652465, -0.003908701247117812, -0.01071462836451335, -0.1169866368930493, 0.014623329611631163, -0.014623331092260107, 0.039961286847461204, -0.014623339976033777, 0.07311659623614274, -0.05849331844652465, 0.014623331092260107, 6.038749789205551e-09, 0.014623329611631163, 0.014623331092260107, -0.029246659223262327, -0.05849332436904043, 0.003908698285859922, 0.043869969586717204, -0.039961286847461204, 0.029246659223262327, 0.043869972547975096, 0.07311659623614274, -0.08773994509595019, -0.014623329611631163, -0.09845457568140696, 0.13160983768996226, -0.08773994509595019, -0.1355185678093445, -0.05458460609468975, 0.09164868706036398, 0.014623329611631163, 0.029246659223262327, 0.054584600172173973, 0.08773993917343441, 0.062401965650685974, 0.014623326650373273, 0.07311659623614274, 0.014623331092260107, 0.13160983768996226, -0.10236331764582075, 0.13160983768996226, 0.09164868706036398, -0.014623329611631163, -0.043869969586717204, 0.10236331764582075, -0.08773994509595019, -0.01853203159906345, -0.047778690822325776, 0.039961286847461204, -0.07311659623614274, -0.043869972547975096, 0.043869972547975096, -0.043869969586717204, 0.0331553478850341, -0.1277012615559903, -0.01853203159906345, 0.014623331092260107, -0.0838312268215995, 0.0838312268215995, 0.014623329611631163, 0.14232446235290325, -0.08773994509595019, 0.029246659223262327, -0.029246662184520215, 0.043869969586717204, 0.1277012615559903, 0.06920794903198142, -0.09845457568140696, -0.06920794903198142, 0.01071462836451335, 0.04386997550923299, -0.01853203159906345, -0.04386997550923299, 0.014623329611631163, -0.13160983768996226, -0.014623329611631163, 0.047778690822325776, -0.014623331092260107, 0.043869969586717204, 0.07311659623614274, -0.07311659623614274, -0.043869972547975096, -0.062401965650685974, 0.014623326650373273, -0.0838312268215995, 0.014623329611631163, -0.025337958716458987, 0.043869969586717204, -0.039961286847461204, -0.09164868706036398, -0.014623331092260107, 0.13160983768996226, -0.07311659623614274, -2.012916537566942e-09, -0.043869972547975096, -0.05849331844652465, 0.043869972547975096, 0.014623331092260107, 0.029246659223262327, -0.05849331844652465, 0.0, 0.16085649987448247, -0.08773994509595019, 0.05849331844652465, -0.05849331844652465, 0.025337958716458987, -0.054584600172173973, -0.01071462836451335, 0.0, 0.029246662184520215, 0.01071462836451335, -0.08773994509595019, -0.029246659223262327, -0.07311659623614274, 0.029246659223262327, 0.029246659223262327, 0.09164868706036398, 0.05849331844652465, -6.038749789205551e-09, -0.05849331844652465, 0.05849331844652465, 0.039961289808719096, -0.05849331844652465, -0.043869969586717204, -0.06920794903198142, -0.07311659623614274, 0.014623329611631163, 0.07311659623614274, 0.05849331844652465, -0.07311659623614274, 0.029246662184520215, -0.014623329611631163, 0.014623331092260107, 0.003908702727746757, -0.07702531451049342, -0.13160983768996226, 2.012916537566942e-09, 0.014623329611631163, -0.029246659223262327, -0.07311659623614274, -0.014623329611631163, 0.043869969586717204, 0.029246659223262327, -0.12770127340102186, -0.014623326650373273, -0.029246659223262327, -0.014623329611631163]",Movie
